step,baseline_train_loss,reader_train_loss
946,3.132628,3.330323
947,3.139065,3.337377
948,3.118954,3.316556
949,3.112027,3.309692
950,3.114465,3.312102
951,3.129248,3.326985
952,3.117003,3.31463
953,3.126701,3.324652
954,3.119947,3.31757
955,3.107252,3.304642
956,3.103425,3.299846
957,3.108497,3.305136
958,3.111097,3.30834
959,3.124992,3.321986
960,3.123921,3.321211
961,3.130607,3.329309
962,3.122352,3.321103
963,3.128296,3.327807
964,3.128738,3.327908
965,3.116136,3.314591
966,3.116006,3.314851
967,3.113113,3.312023
968,3.118686,3.317829
969,3.12218,3.321455
970,3.122984,3.322088
971,3.118645,3.318493
972,3.124508,3.32432
973,3.126492,3.32565
974,3.114757,3.313696
975,3.12016,3.31994
976,3.112111,3.31191
977,3.108894,3.308586
978,3.096524,3.294719
979,3.099334,3.298036
980,3.097138,3.295615
981,3.10103,3.299434
982,3.098651,3.297722
983,3.096296,3.295783
984,3.104891,3.304483
985,3.116591,3.316635
986,3.12909,3.328443
987,3.124597,3.322791
988,3.126546,3.324383
989,3.136151,3.334094
990,3.138585,3.335744
991,3.130707,3.327894
992,3.127362,3.325292
993,3.12334,3.320637
994,3.126874,3.323583
995,3.124649,3.321527
996,3.144247,3.341516
997,3.140735,3.337541
998,3.146594,3.343417
999,3.136232,3.333387
1000,3.128715,3.325974
1001,3.126331,3.323645
1002,3.118405,3.315403
1003,3.111781,3.308606
1004,3.100226,3.296433
1005,3.102125,3.298915
1006,3.103953,3.30084
1007,3.106063,3.302803
1008,3.098994,3.295565
1009,3.099068,3.294975
1010,3.100639,3.297278
1011,3.107445,3.304919
1012,3.098325,3.294744
1013,3.092712,3.289549
1014,3.091231,3.289292
1015,3.075163,3.272916
1016,3.067293,3.265177
1017,3.065006,3.26206
1018,3.062765,3.259395
1019,3.065715,3.260836
1020,3.069791,3.264435
1021,3.080559,3.275789
1022,3.083664,3.278814
1023,3.088119,3.283382
1024,3.094815,3.290305
1025,3.101106,3.2963
1026,3.107581,3.303338
1027,3.116902,3.312698
1028,3.116058,3.312972
1029,3.109992,3.306625
1030,3.116178,3.313321
1031,3.109866,3.307148
1032,3.106911,3.303667
1033,3.113383,3.31102
1034,3.115794,3.313027
1035,3.110329,3.307077
1036,3.118552,3.315132
1037,3.10476,3.302254
1038,3.090588,3.286833
1039,3.091457,3.287585
1040,3.097428,3.29416
1041,3.104109,3.300487
1042,3.110585,3.306724
1043,3.111402,3.307605
1044,3.107788,3.304908
1045,3.106677,3.30332
1046,3.100695,3.297021
1047,3.106474,3.303057
1048,3.113514,3.310214
1049,3.118915,3.315312
1050,3.107422,3.304575
1051,3.097821,3.293669
1052,3.084626,3.280697
1053,3.088173,3.284441
1054,3.09011,3.285338
1055,3.082114,3.277076
1056,3.080032,3.274999
1057,3.082788,3.278303
1058,3.086383,3.282158
1059,3.081493,3.276681
1060,3.076061,3.271638
1061,3.08765,3.282922
1062,3.090748,3.286669
1063,3.095841,3.29155
1064,3.095996,3.29245
